B3TFG2	25,139,60,63
Q57727	67,70,79,80,63
M1GMS4	401,396,399
P0A2K1	256,66,69,231,232,71,268,270,304,306,308,309
P32021	268,189,191
C6H0Y9	134,41,107,108,80,119,120
P0CS93	70,73,75,268,269,537,622,78,182,183,536,313
F8UNJ8	755,766,751
P00918	96,64,129,34,4,132,198,36,106,15,19,119,94
Q236S9	481,610,533
P21347	353,355,260,325,297,361,363,364,461,463,401,342,377,381,319
P46873	204,94
A8E7C6	285,164,250,299,363,216,218,251,252,253,254,287
W0TJ64	81,76,77,78
A0A0H2YN38	321,323,326,204,205,1431,1433,1435,93,1439,96,98,101,426,427,1388,318
P22897	743,745,751,689,691,695,765,766
P06746	192,256,288,145,252,121,124,285,190
P29317	757,646,663
F1QCV2	176,267,174
Q84II6	197,183,253,187,333,254
P00800	398,409,415,416,417,289,419,291,293,422,423,425,426,427,429,432,370,374,378
O28951	224,159,358,359,360,361,362,427,220,221,223
O74036	141,143,144,145,146
Q709H6	64,67,140,109,145,149,92,95
A9A1Y2	449,453,295,299
P62826	24,42
D1A7C3	264,265,202,204,269,274,276,222,223,224,225,227,228,229,188,189
P00760	75,77,78,80,81,82,85
P19573	256,257,130,259,324,323,326,267,494,270,433,273,382
P02791	97,35,46,145,49,51,148,50,53,118,119,123,127
Q9Y233	515,582,519,553,554,623,664
E8MGH8	417,418,338,340
Q08499	453,455,456,620,466,502,503
Q1D0B6	64,66,69
D3DJ42	274,287
Q9X0L2	96,129,132,19,52,55
Q2XVP4	166,39,71,41,11,44,45,49,55,249,158,254
P02554	11,69
E1BQ43	74,331,333
P21589	36,38,298,299,235,237,208,243,85,117,213,214,220
H0SLX7	163,168,112,117,152,153
Q9K2N0	198,201,202,205,91,40,169,41,42,43,240,114,179,116,118,58,59,188,189,190
C7C422	208,122,120,250,124,189
P52699	176,97,99,215,157,95
Q9H816	35,36,120
W8QPS6	194,229,6,231,230,41
A0A0H3MRW3	146,195,150
P61769	77,37,78,103,104,105,107,93,94
Q8WWQ0	1393,1394,1396
E2GIN1	161,212,159
Q17TM8	64,393,396,334,338,344,347,348
K7RJ88	98,171,172
A0A411MR89	448,225,407,409,311,281,215,315,189,318
P01116	17,34,35,57,58,92,95
P04049	165,103,168,139,173,176,125,184,155,152
P79800	17,35
P42592	454,572,456,458,460,462
P54818	676,493,527,495
P07306	197,265,266,240,242,243,278,216,253,254,191
Q9H7B4	65,261,263,71,266,75,208,49,83,52,87,62
P31725	68,70,72,74,79,21,24,27,28,29,31,32,37,103,105,107
P0DTD1	5379,4879,3345,4370,5011,5396,4373,5399,3484,4381,3486,4383,5152,5034,5037,5038,3526,5192,3529,4687,5329,5203,5332,4693,1752,1753,1754,1755,5340,4698,4702,5343,5350,4327,5353,4330,5357,4336,5363,1142,4343,3321,1787,1789,5374
Q16769	202,107,330,76,276,148,280,218,222,159
Q7XSK0	82,85
P47205	241,277,279,237,78
P35270	257,260
Q83V25	294,9,11,177
A0A402C2V4	328,201,26,24,255
A0A402C2Q3	265,337,211,340,25,27
Q9Y253	231,13,14,113,115,116
A0A3B6UEU3	132,134,295,310
Q9D4J1	163,104,108,140,110,142,144,146,115,151,157
Q59FX0	962,965,970,973
P04406	289,291
P26664	1123,1125,1171,1175
F2NWD3	294,79,83,308,309,310
A0A0N9JNY6	832,865,866,650,654,883,884,694,599,600,602,603,892,861,862
Q05097	101,37,105,108,109
Q9GZT9	374,313,315
A0A1M6Y2K1	137,136,73,138,76
O43426	591,543
A0A5P5Z9C8	132,37
A0A3B6UEP6	128,34,26,31,29,127
P80025	227,675,301,303,305,307,339
Q92769	191,194,198,199,200,265,175,176,177,179,188,223
Q5CYN0	629,426,477
B2FTM1	181,246,105,107,109,110
Q70MM3	139,108,25,60,63
Q8W4D0	481,486,599,600,601,506,509,511
Q16790	226,228,251
G3FFN6	263,41,42,43,269,14
P01112	17,35
G3I8R9	257,252
P11142	232,227
P54132	848,1050,1047,1063,1048,1066,684,1036,1055
Q88FY1	320,265,105,302,318,319
A0A1Y1BQV9	289,329,332,336,337,340,341,286
Q9KDJ7	150,152,91
L8ICE9	226,227,675,301,303,305,307,339,372,247,222,543
Q9I5W4	700,696,716
Q9BY41	178,180,267
C3W5S0	80,134,119,120,41,107,108
Q6JC41	288,424,361,426,362,526,561,531,563,734,286
Q4VA93	132,102,135,140,143,115,118,151
Q3JRA0	10,12,44
P61586	19,36
P30793	144,210,212,141
P06873	330,365,174,305,177,178,280,121,282
Q06338	283
Q9NRD9	832,864,834,866,836,867,868,839,869,870,875,828,830
A0A1D1UCW7	64,67,68,70,135,136,137,104,142,63
P20051	98,258,137,14,16,180
Q9IGQ6	384,386,324,376,294,298,342,343,344,345,378
Q9RZN1	224,225,162,163,100,101,230,197,200,201,112,217,219,223
Q8YY76	160,162,163,165,166,39,42,52,53,159
B2RHG5	224,297,298,301,302,303,336,150,152,154,252,253
P20292	58,61,62
Q9NY97	376,247
Q8PET2	32,288,151
P31947	192,196,133,83,84,86,87,215,89,219,31,35,228,231,110,112,56,60
P0C0Y8	231,191
P0C0Y9	267,220,235
A9CJ36	192,137,141,214
P04746	173,115,182,216
C9K1X5	224,228,220
P23360	201,235,237,240
P9WNV1	32,72,44,28
Q2CEE3	388,391,392
Q0TR53	73,74,108,111
Q96HY7	368,333,366
T2B7E1	137,24,107,138,59,104,141,62
Q2UWK0	225,167,169
B0R5R2	16,11,60,15
A0QWT2	291,207
Q06187	165,143,152,154,155
P04067	70,211,86,87,311,225,289,227,228,290,230,291,104,235,236,242,252,244,247,248,60
Q4QBL1	98,250,102,170,251
P50405	296,292
P22297	289,108,222
A0A452CSW8	234,171,84,86,88,89,152
P11234	28,46
A0A0S4TLR1	69,47
Q9LXT4	98,164,100
Q9SJI9	98,164,100
Q8LGJ5	136,197,134
P21327	153,156,317,79
Q92794	289,259,292,230,262,233,265,268,238,209,241,307,212,310,281,284
P08312	256,308,101,102,103,310,268
P07395	416,160,33,161,454,264,459,460,463,687,627,691,629,503,504,253,254,159
